,Name,size,MRP,price,url
104,SBL Diaboherb Capsule,box of 100 capsules,₹450,₹380,/otc/sbl-diaboherb-capsule-otc329033
105,SBL Gymnema Sylvestre Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹88,/otc/sbl-gymnema-sylvestre-mother-tincture-q-otc338482
106,Dr Willmar Schwabe India Dizester Digestive Tonic Sugar Free,bottle of 500 ml Tonic,₹360,₹306,/otc/dr-willmar-schwabe-india-dizester-digestive-tonic-sugar-free-otc492426
107,Bakson's Biocombination 17 Tablet,bottle of 4500 biocombination tablets,₹655,₹589,/otc/bakson-s-biocombination-17-tablet-otc694659
108,SBL Carbo Vegetabilis Dilution 30 CH,bottle of 30 ml Dilution,₹90,₹76,/otc/sbl-carbo-vegetabilis-dilution-30-ch-otc338206
109,Dr. Reckeweg R2 Essentia Aurea-Gold Drop,bottle of 22 ml Drop,₹270,₹224,/otc/dr.-reckeweg-r2-essentia-aurea-gold-drop-otc327508
110,SBL Ferrum Phosphoricum Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹105,₹87,/otc/sbl-ferrum-phosphoricum-biochemic-tablet-6x-otc331056
111,Dr. Reckeweg R95 Alfalfa Tonic,bottle of 250 ml Tonic,₹645,₹541,/otc/dr.-reckeweg-r95-alfalfa-tonic-otc336743
112,SBL Thuja Ointment,tube of 25 gm Ointment,₹65,₹55,/otc/sbl-thuja-ointment-otc331009
113,New Life Bach Flower Rescue Remedy 30,bottle of 30 ml Dilution,₹125,₹105,/otc/new-life-bach-flower-rescue-remedy-30-otc386623
114,SBL Caladium Seguinum Dilution 30 CH,bottle of 30 ml Dilution,₹90,₹75,/otc/sbl-caladium-seguinum-dilution-30-ch-otc346065
115,SBL Tribulus Terrestris Mother Tincture Q,bottle of 30 ml Mother Tincture,₹100,₹82,/otc/sbl-tribulus-terrestris-mother-tincture-q-otc348982
116,SBL Belladonna Dilution 200 CH,bottle of 30 ml Dilution,₹100,₹83,/otc/sbl-belladonna-dilution-200-ch-otc338212
117,SBL Bio-Combination 20 Tablet,bottle of 25 gm Biocombination Tablet,₹105,₹87,/otc/sbl-bio-combination-20-tablet-otc331069
118,ADEL 51 Psy-Stabil Drop,bottle of 20 ml Drop,₹295,₹259,/otc/adel-51-psy-stabil-drop-otc327724
119,SBL Passiflora Incarnata Mother Tincture Q,bottle of 30 ml Mother Tincture,₹120,₹101,/otc/sbl-passiflora-incarnata-mother-tincture-q-otc338434
120,Dr. Reckeweg Vita-C 15 Nerve Tonic,bottle of 250 ml Tonic,₹695,₹612,/otc/dr.-reckeweg-vita-c-15-nerve-tonic-otc325996
121,SBL Echinacea Angustifolia Mother Tincture Q,bottle of 30 ml Mother Tincture,₹210,₹174,/otc/sbl-echinacea-angustifolia-mother-tincture-q-otc338488
122,SBL Phytolacca Berry Mother Tincture Q,bottle of 30 ml Mother Tincture,₹230,₹191,/otc/sbl-phytolacca-berry-mother-tincture-q-otc338433
123,SBL Calendula Officinalis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹83,/otc/sbl-calendula-officinalis-mother-tincture-q-otc338509
124,SBL Allium Cepa Dilution 30 CH,bottle of 30 ml Dilution,₹90,₹76,/otc/sbl-allium-cepa-dilution-30-ch-otc338390
125,SBL Lycopodium Clavatum Dilution 200 CH,bottle of 30 ml Dilution,₹100,₹83,/otc/sbl-lycopodium-clavatum-dilution-200-ch-otc338199
126,SBL Drops No. 8 ( For Allergic Rhinitis),bottle of 30 ml Drop,₹175,₹147,/otc/sbl-drops-no.-8-for-allergic-rhinitis-otc339777
127,Bakson's Tonsil Aid Tablet,bottle of 75 tablets,₹200,₹168,/otc/bakson-s-tonsil-aid-tablet-otc402187
128,SBL Urtica Urens Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹90,/otc/sbl-urtica-urens-mother-tincture-q-otc338407
129,SBL Tranquil Tablet,bottle of 25 gm Tablet,₹155,₹132,/otc/sbl-tranquil-tablet-otc326115
130,SBL Bio-Combination 19 Tablet,bottle of 25 gm Biocombination Tablet,₹105,₹88,/otc/sbl-bio-combination-19-tablet-otc331068
131,SBL Damiana Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹124,/otc/sbl-damiana-mother-tincture-q-otc338489
132,SBL Sulphur Dilution 30 CH,bottle of 30 ml Dilution,₹90,₹76,/otc/sbl-sulphur-dilution-30-ch-otc338174
133,Lord's Ylo Tablet,bottle of 50 tablets,₹150,₹125,/otc/lord-s-ylo-tablet-otc357512
134,SBL FP Ointment,tube of 25 gm Ointment,₹70,₹59,/otc/sbl-fp-ointment-otc330996
135,SBL Hepar Sulphur Dilution 200 CH,bottle of 30 ml Dilution,₹100,₹84,/otc/sbl-hepar-sulphur-dilution-200-ch-otc347863
136,Bakson's Hite Aid Tablet,bottle of 75 tablets,₹200,₹167,/otc/bakson-s-hite-aid-tablet-otc327080
137,Bakson's Gastro Aid Tablet,bottle of 75 tablets,₹215,₹181,/otc/bakson-s-gastro-aid-tablet-otc326081
138,Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹143,/otc/medisynth-jondila-sugar-free-syrup-otc339314
139,Dr. Reckeweg R3 Heart Drop,bottle of 22 ml Drop,₹270,₹227,/otc/dr.-reckeweg-r3-heart-drop-otc326082
140,Dr. Reckeweg V-C 15 Forte Tonic,box of 12 tonics,₹1170,₹1030,/otc/dr.-reckeweg-v-c-15-forte-tonic-otc327329
141,SBL Terminalia Arjuna Mother Tincture Q,bottle of 30 ml Mother Tincture,₹100,₹83,/otc/sbl-terminalia-arjuna-mother-tincture-q-otc338411
142,SBL Euphrasia 10% Eye Drop,bottle of 10 ml Eye Drop,₹85,₹73,/otc/sbl-euphrasia-10-eye-drop-otc326104
143,Dr Willmar Schwabe India Sabal Serrulata Mother Tincture Q,bottle of 30 ml Mother Tincture,₹300,₹253,/otc/dr-willmar-schwabe-india-sabal-serrulata-mother-tincture-q-otc391635
144,Dr Willmar Schwabe India Alpha-Liv Liver Tonic,bottle of 500 ml Tonic,₹330,₹277,/otc/dr-willmar-schwabe-india-alpha-liv-liver-tonic-otc492430
145,SBL Bio-Combination 17 Tablet,bottle of 25 gm Biocombination Tablet,₹105,₹87,/otc/sbl-bio-combination-17-tablet-otc331065
146,Essentia Aurea Gold Drop,bottle of 30 ml Drop,₹190,₹158,/otc/essentia-aurea-gold-drop-otc326134
147,SBL Carbo Vegetabilis Dilution 200 CH,bottle of 30 ml Dilution,₹100,₹88,/otc/sbl-carbo-vegetabilis-dilution-200-ch-otc338207
148,SBL Arnica Gel,tube of 25 gm Gel,₹65,₹55,/otc/sbl-arnica-gel-otc330982
