,Name,Rating,Num_rating
318,Bakson's Nasal Aid Spray,4.2,54 ratings
319,ADEL 22 Renelix Drop,4.5,22 ratings
320,Bakson B9 Hemorrhoidal Drop,4.8,39 ratings
321,Hapdco B.Ve. Phos Children Tonic,4.5,59 ratings
322,Allen Snorid Drop,4.1,41 ratings
323,Allen Osteofit Tablet,4.6,37 ratings
324,Dr Willmar Schwabe India Alpha - WD Drop,4.4,21 ratings
325,SBL Ceanothus Americanus Mother Tincture Q,4.4,25 ratings
326,ADEL 78 Dercut Ointment,3.9,18 ratings
327,SBL Cineraria Maritima Euphrasia Eye Drop,4.5,237 ratings
328,Dr. Reckeweg R4 Diarrhoea Drop,4.5,28 ratings
329,Dr Willmar Schwabe India Kali Phosphoricum Biochemic Tablet 6X,4.7,91 ratings
330,Wheezal Nosoline Nasal Spray,4,45 ratings
331,REPL Dr. Advice No.70 Nodules Drop,4.2,27 ratings
332,Dr Willmar Schwabe India Phytolacca Berry Tablet (4 in 1 Combo Pack) Tablet,4.1,28 ratings
333,ADEL Acid Phos Mother Tincture Q,4.4,20 ratings
334,Allen A90 Ovarian Cysts Drop,4.8,16 ratings
335,Bakson's Beepee Aid Drop,4.5,30 ratings
336,Bakson's Pelvi Aid Tablet,4.5,15 ratings
337,Bakson's Chrysarobinum Ointment,4.7,37 ratings
338,Bakson's Gastro Aid Syrup,4.4,29 ratings
339,Allen A02 Anti Fungal Drop,4.2,28 ratings
340,Wheezal Renal Forte Drop,4.2,20 ratings
341,Bakson's Phytolacca Berry Tablet,4,11 ratings
342,ADEL 73 Mucan Drop,4,24 ratings
343,SBL Kali Phosphoricum Dilution 30 CH,4.5,52 ratings
344,SBL Drops No. 9 ( For Cough),4.5,24 ratings
345,Dr Willmar Schwabe India Topi Aesculus Cream,4.5,40 ratings
346,Bjain Jaborandi Mother Tincture Q,4.6,34 ratings
347,ADEL 1 Apo-Dolor Drop,4.7,31 ratings
348,SBL Argentum Nitricum Dilution 200 CH,4.4,95 ratings
349,Bakson's Acne Aid Tablet,3.8,5 ratings
350,Bakson B1 Influenza & Fever Drop,4.7,28 ratings
351,Allen A26 Piles Drop,4.2,35 ratings
352,Rxhomeo Bryonia Alba Pellets 30C,NA,NA
353,Bakson's Kof Aid Cough Syrup,4.6,50 ratings
354,SBL Arsenicum Sulph Flavum Trituration Tablet 3X,4.3,28 ratings
355,Allen A69 Anal Fissures Drop,4.2,29 ratings
356,Bakson's Kali Phosphoricum Biochemic Tablet 3X,4.4,12 ratings
357,Dr Willmar Schwabe India Aurum Muriaticum Natronatum Trituration Tablet 3X,4.5,21 ratings
358,SBL Solidago Virgaurea Mother Tincture Q,4.9,21 ratings
359,Bakson's Natrum Muriaticum Biochemic Tablet 12X,NA,NA
360,Bakson's Biocombination 11 Tablet,NA,NA
361,Allen A44 Hyper Acidity & Ulcer Drop,4.3,34 ratings
362,Bakson B28 Weight Drop,4.2,26 ratings
363,Hapdco B.Ve. Phos Children Tonic,4.5,59 ratings
364,Bakson's Sunny Fairness Cream for Women,4.2,23 ratings
365,Bakson's Sunny Fairness Cream for Men,3.9,29 ratings
366,Lord's Cratin Drop,4,21 ratings
367,Wheezal Arnica Hair N Scalp Treatment Homeopathic Medicine,4.2,99 ratings
368,Bakson's Hair Aid Drop Dual Pack (30ml Each),4.4,16 ratings
369,SBL Baryta Carbonicum Dilution 30 CH,4.3,52 ratings
370,New Life NL-4 Gall-B-Tone Drop,4.8,18 ratings
371,Bakson's Aloevera Calendula Cream,4.6,153 ratings
372,Bakson B16 Vertigo Drop,4.4,27 ratings
373,ADEL Berberis Vulg Mother Tincture Q,4.6,30 ratings
374,SBL Hekla Lava Trituration Tablet 3X,4.7,16 ratings
375,ADEL Alfalfa Tonic with Ginseng,4.4,36 ratings
376,Wheezal WL40 Varicose Veins Drop,4.1,20 ratings
377,Wheezal WL36 Sciatica & Slip Disc Drop,4.4,39 ratings
378,Rxhomeo Arsenicum Album Pellets 200C,NA,NA
379,Hapdco Ferrocin Drop,4.5,24 ratings
380,Bakson's Arnica Shampoo,4.5,88 ratings
381,Allen A39 Anti Obesity Drop,4.2,21 ratings
382,SBL Bovista Dilution 6 CH,4.6,15 ratings
383,SBL Aralia Racemosa Mother Tincture Q,4.5,6 ratings
384,ADEL 14 Ferrodona Drop,4.6,18 ratings
385,Bakson's Compound # 5 Pain Joints Tablet,4.8,8 ratings
386,SBL Lemna Minor Mother Tincture Q,4.4,20 ratings
387,Bakson's Alfavena Malt,4.3,26 ratings
388,Allen A08 Diabetes Drop,4.1,24 ratings
389,SBL Rosmarinus Officinalis Dilution 30 CH,4.7,19 ratings
390,SBL Ratanhia Dilution 200 CH,4.5,68 ratings
391,Allen A27 Psoriasis Drop,4.3,15 ratings
392,SBL Natrum Arsenicum Dilution 30 CH,4.6,20 ratings
393,SBL Calcarea Fluorica Biochemic Tablet 3X,4.5,475 ratings
394,New Life Bach Flower Willow 30,4.7,15 ratings
395,Bakson's Kof Aid Plus Cough Syrup Sugar Free,4.4,41 ratings
396,SBL Rinsout Drop Mouthwash,4.4,17 ratings
397,Bakson's Tense Aid Tablet,4.6,10 ratings
398,Allen A79 Depression Drop,4.1,14 ratings
399,SBL Arnica Montana Herbal Shampoo with TJC,4.4,326 ratings
400,Bakson B2 Stomach Drop,4.3,37 ratings
401,Allen A50 H.B.P (High Blood Pressure) Drop,4.2,17 ratings
402,SBL Agaricus Muscarius Dilution 30 CH,4.5,17 ratings
403,Allen A71 U.T.I. (Urinary Tract Infections) Drop,4.5,14 ratings
404,Rxhomeo Rhus Toxicodendron Pellets 30C,NA,NA
405,SBL Histaminum Dilution 1000 CH,4.5,221 ratings
406,SBL Silicea Dilution 1000 CH,4.6,208 ratings
407,Allen A31 Warts Drop,3.9,17 ratings
408,SBL Wormorid Drop,4.5,26 ratings
409,ADEL 43 Cardinorma Drop,4.6,8 ratings
410,Bakson's Calm Aid Tablet,NA,NA
411,SBL Asafoetida Dilution 30 CH,4.3,35 ratings
412,SBL Medorrhinum Dilution 1000 CH,4.5,41 ratings
413,SBL Pancreatinum Dilution 30 CH,4.3,30 ratings
414,Hapdco Mensol Tonic,4.4,72 ratings
415,Lord's Yohimbinum Trituration Tablet 3X,3.8,25 ratings
416,Lord's Ginseng Tablet,NA,NA
417,SBL Utrofyne Syrup,4.6,14 ratings
